ssid,bssid,signal_dbm,encryption,authentication,channel,is_risky,risk_reason
JioFiber_Guest,1e:83:54:d8:fa:76,-30,WPA,PSK,8,0,Safe
JioFiber_Shop,70:1b:43:9e:9c:5f,-71,WPA,PSK,8,0,Safe
D-Link_5G,ac:41:1e:cd:69:1b,-57,WPA2,PSK,2,0,Safe
Free_Public_WiFi,8e:7f:f4:b7:22:5d,-45,WEP,PSK,9,1,Weak Encryption (WEP)
Free_Public_WiFi,98:0e:a4:a2:e0:00,-42,WEP,PSK,9,1,Weak Encryption (WEP)
Airtel_Free,60:93:9e:01:03:c4,-67,WEP,PSK,6,1,Weak Encryption (WEP)
Netpluz_5G,60:8a:07:1f:74:e9,-46,WEP,PSK,2,1,Weak Encryption (WEP)
Airtel_Home,14:8f:99:99:2b:02,-72,WPA,PSK,11,0,Safe
Airtel_Shop,5e:8d:74:ee:56:85,-40,WEP,PSK,4,1,Weak Encryption (WEP)
Sai_5G,bc:c7:75:eb:da:eb,-71,WEP,PSK,4,1,Weak Encryption (WEP)
JioFiber_Home,20:46:c7:7f:7d:17,-55,OPEN,NONE,1,1,Open Network
Netpluz_Guest,0e:e9:52:20:a9:50,-64,OPEN,NONE,9,1,Open Network
CyberCafe,4c:89:1b:c0:b6:5f,-35,OPEN,NONE,10,1,Open Network
Netpluz_Guest,e8:2a:68:d4:90:cd,-53,WPA,PSK,2,0,Safe
Airtel_Guest,70:a9:6b:ec:e8:ae,-41,OPEN,NONE,7,1,Open Network
D-Link_Shop,e0:6b:74:8e:a5:9c,-33,OPEN,NONE,1,1,Open Network
Ganpati123,84:43:a7:41:93:75,-88,WPA2,PSK,4,0,Safe
Sai_Guest,9a:8c:a6:eb:0a:47,-32,WPA2,PSK,3,0,Safe
Netpluz_Guest,fc:3d:26:29:38:e7,-77,WPA,PSK,11,0,Safe
Om,02:6c:d3:20:26:3c,-59,OPEN,NONE,6,1,Open Network
Airtel_5G,ce:e1:1c:d6:f1:82,-90,WPA2,PSK,4,0,Safe
Shiv_Shop,2c:d0:9c:22:b1:37,-42,WEP,PSK,8,1,Weak Encryption (WEP)
Netpluz_Shop,e0:6b:e9:7c:30:a5,-62,WPA,PSK,10,0,Safe
D-Link,5e:62:93:01:6f:5d,-49,WPA,PSK,1,0,Safe
Free_Public_WiFi,34:57:e3:bd:57:c5,-50,OPEN,NONE,6,1,Open Network
JioFiber_Guest,4e:f0:ca:28:7a:e4,-86,OPEN,NONE,1,1,Open Network
D-Link,e8:4c:2f:72:ca:51,-48,WPA,PSK,7,0,Safe
TP-Link123,0c:ed:cd:5c:d2:c1,-77,WPA,PSK,11,0,Safe
D-Link123,d8:a8:8f:94:32:00,-90,WPA2,PSK,11,0,Safe
Shiv_Guest,3a:e4:3a:7b:e6:57,-59,OPEN,NONE,5,1,Open Network
Sai_Home,ea:cf:81:c1:8f:e4,-85,OPEN,NONE,5,1,Open Network
Ganpati123,bc:94:6f:14:1b:07,-66,WPA,PSK,4,0,Safe
JioFiber,7a:9e:73:85:6f:a4,-84,OPEN,NONE,1,1,Open Network
JioFiber_Home,12:38:4a:ad:0c:29,-80,WEP,PSK,3,1,Weak Encryption (WEP)
Sai_Home,d6:88:73:59:79:95,-87,OPEN,NONE,11,1,Open Network
Netpluz_5G,28:50:1b:0f:6a:20,-54,WPA2,PSK,11,0,Safe
Sai_Free,9c:f3:b7:7f:77:f6,-45,OPEN,NONE,2,1,Open Network
CyberCafe,ae:e9:2a:ba:23:4e,-31,WEP,PSK,1,1,Weak Encryption (WEP)
JioFiber123,ea:2c:fa:3b:ff:12,-60,WPA2,PSK,3,0,Safe
Shiv_Home,f4:54:39:97:6c:a7,-40,WEP,PSK,6,1,Weak Encryption (WEP)
Om_Shop,ce:bd:58:b0:28:4e,-61,WPA,PSK,8,0,Safe
Airtel123,fa:2f:b0:3e:c3:55,-65,WPA,PSK,3,0,Safe
Airtel_5G,08:ba:27:ed:43:9f,-83,WEP,PSK,2,1,Weak Encryption (WEP)
Airtel_Shop,44:23:7e:6f:66:ab,-88,WEP,PSK,11,1,Weak Encryption (WEP)
TP-Link,18:09:f7:7b:da:cc,-68,WPA,PSK,7,0,Safe
Sai123,66:47:81:8a:bd:49,-38,WPA,PSK,9,0,Safe
TP-Link_Free,76:e6:3b:7e:b1:1c,-65,OPEN,NONE,7,1,Open Network
CyberCafe123,c2:67:36:32:f0:cf,-78,WPA,PSK,1,0,Safe
D-Link123,ca:fe:74:d0:5b:f6,-46,WPA,PSK,1,0,Safe
JioFiber_5G,a0:f9:4b:90:36:31,-31,OPEN,NONE,6,1,Open Network
Netpluz_Home,96:6a:4a:c2:95:53,-61,OPEN,NONE,10,1,Open Network
Airtel_5G,c8:12:90:ce:94:bd,-57,WPA,PSK,6,0,Safe
Netpluz_Free,f8:33:71:31:b7:0f,-48,WPA2,PSK,5,0,Safe
Om_5G,da:8f:28:d1:03:fd,-48,WEP,PSK,4,1,Weak Encryption (WEP)
Om_5G,88:cf:cb:bc:18:e2,-65,OPEN,NONE,3,1,Open Network
Ganpati123,66:db:53:60:3c:3d,-80,WEP,PSK,9,1,Weak Encryption (WEP)
Ganpati_5G,4e:8f:40:74:66:60,-68,WPA,PSK,9,0,Safe
TP-Link_Guest,18:9f:54:a2:44:4e,-70,WPA,PSK,1,0,Safe
Shiv_Home,18:29:f8:7b:c8:8f,-59,WEP,PSK,3,1,Weak Encryption (WEP)
CyberCafe_Home,4e:82:e0:34:7d:90,-88,OPEN,NONE,11,1,Open Network
Free_Public_WiFi,9e:d1:bc:5f:16:8c,-87,WPA2,PSK,2,0,Safe
TP-Link_5G,4e:16:c5:5e:70:87,-71,WEP,PSK,11,1,Weak Encryption (WEP)
Free_Public_WiFi,72:f0:0e:85:38:a7,-57,WPA,PSK,6,0,Safe
Ganpati123,24:d6:3f:fb:36:3a,-74,WPA2,PSK,1,0,Safe
TP-Link_Home,5c:d6:6a:7d:ee:7e,-47,OPEN,NONE,2,1,Open Network
Om,da:9a:79:ca:3e:5c,-55,WPA,PSK,4,0,Safe
Free_Public_WiFi,a0:79:c8:28:d0:a1,-68,WPA2,PSK,8,0,Safe
Free_Public_WiFi,1c:4a:47:6b:da:ca,-72,OPEN,NONE,7,1,Open Network
Ganpati123,18:b9:fd:f8:b2:7d,-77,WPA2,PSK,11,0,Safe
JioFiber123,04:4b:29:0b:a6:ed,-47,WPA2,PSK,7,0,Safe
Airtel_Free,b6:92:7b:9d:3a:7d,-58,OPEN,NONE,8,1,Open Network
CyberCafe_Guest,de:a9:59:4c:d5:09,-70,WEP,PSK,1,1,Weak Encryption (WEP)
Airtel_Home,f6:1f:26:19:32:38,-72,WPA2,PSK,11,0,Safe
Ganpati_Guest,08:29:da:83:13:fa,-68,OPEN,NONE,10,1,Open Network
CyberCafe_Home,da:5d:90:8d:77:21,-43,WPA2,PSK,8,0,Safe
JioFiber_Home,78:f7:da:d8:6f:9c,-49,WEP,PSK,9,1,Weak Encryption (WEP)
Sai_Shop,7c:75:72:53:9a:88,-90,OPEN,NONE,5,1,Open Network
TP-Link123,c8:ba:ce:65:a8:f7,-60,OPEN,NONE,2,1,Open Network
JioFiber123,9a:7a:13:19:ef:b6,-64,OPEN,NONE,11,1,Open Network
CyberCafe_5G,26:ba:30:f2:95:8c,-32,OPEN,NONE,4,1,Open Network
Airtel_Guest,30:bc:71:b7:e7:1e,-53,WEP,PSK,8,1,Weak Encryption (WEP)
D-Link123,a4:d1:dd:29:74:8b,-32,OPEN,NONE,7,1,Open Network
Netpluz_Guest,ca:47:e0:b3:e8:35,-32,OPEN,NONE,1,1,Open Network
JioFiber_Home,0a:cb:09:bd:c3:47,-30,WEP,PSK,2,1,Weak Encryption (WEP)
Sai_Free,7a:24:8a:de:43:f2,-68,WPA,PSK,2,0,Safe
Om_Home,18:95:fd:9d:c4:3b,-82,WEP,PSK,2,1,Weak Encryption (WEP)
Airtel,da:60:bf:13:29:19,-39,WEP,PSK,1,1,Weak Encryption (WEP)
Airtel_Guest,fc:7a:32:1e:e6:23,-74,WPA2,PSK,11,0,Safe
Free_Public_WiFi,8a:e6:be:e3:bf:52,-36,WEP,PSK,5,1,Weak Encryption (WEP)
Ganpati_Guest,d4:c5:27:e7:5d:90,-86,WPA,PSK,8,0,Safe
Ganpati_5G,42:e6:00:c3:c9:52,-41,WPA2,PSK,6,0,Safe
Ganpati,2a:a4:6a:8f:dd:f5,-86,OPEN,NONE,3,1,Open Network
Ganpati_Guest,06:51:3e:ce:dd:e2,-73,WPA,PSK,2,0,Safe
Shiv123,14:25:6c:d1:38:f2,-47,WPA2,PSK,5,0,Safe
CyberCafe_5G,80:49:3b:68:90:25,-37,WEP,PSK,10,1,Weak Encryption (WEP)
Netpluz,72:7c:57:0f:3a:f6,-64,WEP,PSK,8,1,Weak Encryption (WEP)
Free_Public_WiFi,ae:a6:7b:0b:c7:20,-81,OPEN,NONE,7,1,Open Network
Om123,7c:6a:f6:6d:fe:8c,-79,OPEN,NONE,8,1,Open Network
JioFiber123,a0:5f:3b:e7:6e:2b,-38,WPA2,PSK,5,0,Safe
JioFiber123,e0:86:0c:3e:89:90,-37,WPA2,PSK,11,0,Safe
Airtel_5G,6c:eb:1f:ae:12:af,-39,WPA,PSK,2,0,Safe
Om_Shop,98:2f:b4:21:74:a1,-41,WPA,PSK,5,0,Safe
Free_Public_WiFi,c0:ba:f9:d8:58:ef,-46,WPA,PSK,10,0,Safe
Free_Public_WiFi,76:c0:bc:ae:ee:06,-56,WPA2,PSK,2,0,Safe
Sai123,60:d9:3b:e6:42:7e,-39,WPA2,PSK,2,0,Safe
Ganpati_Home,9e:cd:f5:93:75:2b,-67,WPA,PSK,11,0,Safe
JioFiber_Free,68:05:b0:d2:f5:19,-40,WEP,PSK,11,1,Weak Encryption (WEP)
Sai_Free,aa:ac:cd:ef:a5:1e,-33,WPA2,PSK,8,0,Safe
Free_Public_WiFi,e2:88:60:22:ae:df,-59,WPA,PSK,6,0,Safe
CyberCafe_Shop,ee:9b:a6:b7:f3:e0,-34,OPEN,NONE,2,1,Open Network
Ganpati_Guest,aa:13:67:39:13:d2,-67,OPEN,NONE,5,1,Open Network
Ganpati_Home,58:52:d0:ca:55:07,-78,WEP,PSK,7,1,Weak Encryption (WEP)
CyberCafe_Guest,82:16:bd:c8:28:dc,-64,WEP,PSK,10,1,Weak Encryption (WEP)
Ganpati_Guest,ae:a8:3b:11:68:95,-52,OPEN,NONE,1,1,Open Network
Free_Public_WiFi,78:89:e8:2b:a8:d8,-90,WPA2,PSK,6,0,Safe
Ganpati_Free,b6:a4:44:65:9d:96,-33,WPA,PSK,10,0,Safe
Airtel_Home,b0:e5:bd:f9:6b:cb,-65,WPA2,PSK,9,0,Safe
TP-Link_5G,20:5f:7f:5c:a3:f8,-83,WEP,PSK,5,1,Weak Encryption (WEP)
Om_5G,96:cf:09:73:dd:89,-73,WPA2,PSK,10,0,Safe
Shiv_Guest,62:3a:20:39:4b:9d,-81,OPEN,NONE,8,1,Open Network
Om,96:a1:fd:8d:21:c4,-34,WEP,PSK,5,1,Weak Encryption (WEP)
Airtel_Home,b2:c0:59:dd:3f:f8,-52,OPEN,NONE,5,1,Open Network
Ganpati_5G,30:5a:92:a7:91:02,-31,WEP,PSK,7,1,Weak Encryption (WEP)
JioFiber_5G,aa:18:5d:fe:fa:25,-83,OPEN,NONE,10,1,Open Network
JioFiber_5G,e8:b0:95:d2:20:2f,-47,OPEN,NONE,3,1,Open Network
JioFiber_Guest,86:bf:c2:d0:ff:fa,-40,OPEN,NONE,8,1,Open Network
Sai_Shop,aa:e3:a8:aa:81:e5,-42,WEP,PSK,11,1,Weak Encryption (WEP)
Om_Shop,ea:2b:78:19:9b:34,-64,WPA2,PSK,4,0,Safe
Free_Public_WiFi,ec:dd:ee:53:2f:c1,-38,WPA,PSK,4,0,Safe
D-Link_Guest,5e:ff:3b:4d:6e:c8,-77,WPA,PSK,1,0,Safe
TP-Link_Shop,d0:2d:f9:e4:66:99,-31,OPEN,NONE,1,1,Open Network
Sai_Shop,a8:ea:75:76:d4:3a,-52,WEP,PSK,7,1,Weak Encryption (WEP)
Free_Public_WiFi,3a:f3:b5:e6:4f:17,-41,WEP,PSK,10,1,Weak Encryption (WEP)
TP-Link_Free,96:8d:86:57:0a:60,-62,OPEN,NONE,10,1,Open Network
Airtel_Shop,9e:60:68:4b:04:0c,-73,OPEN,NONE,5,1,Open Network
Sai,2e:eb:b4:af:86:45,-63,OPEN,NONE,9,1,Open Network
TP-Link_Free,d4:6c:9d:59:71:dc,-81,WEP,PSK,6,1,Weak Encryption (WEP)
Netpluz123,b8:8c:41:db:11:17,-70,WPA2,PSK,6,0,Safe
Ganpati123,7c:2f:31:de:4a:78,-61,WPA2,PSK,11,0,Safe
D-Link_Free,1e:7c:1d:44:01:e3,-54,WPA,PSK,1,0,Safe
JioFiber_Shop,58:b9:00:46:63:f6,-89,OPEN,NONE,9,1,Open Network
Ganpati123,7c:fc:d1:c5:37:25,-57,WPA2,PSK,3,0,Safe
Netpluz_Free,b6:79:7d:77:5f:89,-50,OPEN,NONE,8,1,Open Network
Ganpati123,66:e5:7a:3f:7d:b5,-50,WPA2,PSK,7,0,Safe
CyberCafe,f0:3a:fc:04:c2:35,-76,OPEN,NONE,10,1,Open Network
Netpluz123,2a:b9:75:d1:d5:13,-63,WPA,PSK,10,0,Safe
Netpluz_Home,e0:7f:55:90:e1:55,-39,OPEN,NONE,1,1,Open Network
CyberCafe_Free,fa:a7:69:14:29:cb,-73,WEP,PSK,1,1,Weak Encryption (WEP)
Shiv123,ba:b1:1a:0c:67:f7,-47,WEP,PSK,2,1,Weak Encryption (WEP)
Free_Public_WiFi,8a:e8:25:9b:68:9b,-30,OPEN,NONE,2,1,Open Network
JioFiber_Guest,60:8c:0e:5f:01:16,-83,WPA,PSK,10,0,Safe
CyberCafe123,c0:cf:cd:04:9f:82,-46,OPEN,NONE,1,1,Open Network
Airtel_Shop,86:69:16:81:4d:02,-33,WPA2,PSK,5,0,Safe
CyberCafe_Shop,be:46:55:14:51:aa,-63,OPEN,NONE,5,1,Open Network
CyberCafe123,ec:de:7a:0a:e3:ac,-40,WEP,PSK,2,1,Weak Encryption (WEP)
JioFiber_Free,9c:db:a3:cd:a3:37,-47,WPA,PSK,2,0,Safe
D-Link_5G,4c:e7:d7:d9:cc:66,-81,WPA,PSK,2,0,Safe
Sai,76:9e:73:b0:41:cf,-68,OPEN,NONE,5,1,Open Network
D-Link_Guest,aa:ee:9f:c5:97:2f,-79,WPA2,PSK,11,0,Safe
Airtel_Guest,7a:c6:e3:3d:11:42,-56,OPEN,NONE,3,1,Open Network
CyberCafe,12:b5:f8:a6:eb:0f,-40,WEP,PSK,4,1,Weak Encryption (WEP)
Ganpati_5G,34:4d:49:a5:71:ff,-40,WEP,PSK,5,1,Weak Encryption (WEP)
TP-Link_Guest,d6:b7:bc:a4:5d:34,-41,OPEN,NONE,3,1,Open Network
Ganpati_Home,3a:20:c9:0a:b4:76,-81,WPA2,PSK,7,0,Safe
Airtel,b0:c5:03:75:cb:33,-89,WPA2,PSK,10,0,Safe
Ganpati_Home,3e:c0:4c:5c:48:c0,-65,WEP,PSK,9,1,Weak Encryption (WEP)
JioFiber_5G,7e:43:de:d8:e2:04,-73,OPEN,NONE,4,1,Open Network
Netpluz_Home,74:95:18:01:3a:a4,-47,OPEN,NONE,1,1,Open Network
Shiv_Shop,9c:9f:5d:b4:1f:3c,-59,WPA2,PSK,8,0,Safe
D-Link123,d8:57:9f:ca:9b:69,-33,OPEN,NONE,8,1,Open Network
D-Link123,02:ef:0a:a5:cb:f5,-58,WEP,PSK,5,1,Weak Encryption (WEP)
TP-Link123,a6:eb:54:1d:a1:fb,-75,WPA2,PSK,5,0,Safe
TP-Link_Guest,54:4d:fe:d1:78:4b,-63,WEP,PSK,7,1,Weak Encryption (WEP)
TP-Link_Guest,b0:65:22:56:15:69,-75,WPA,PSK,1,0,Safe
Ganpati_Shop,8c:6b:a6:6c:47:1b,-48,WPA,PSK,10,0,Safe
JioFiber_5G,34:44:37:84:0f:92,-32,OPEN,NONE,2,1,Open Network
CyberCafe_Home,0a:89:7d:0c:a1:36,-33,WPA,PSK,11,0,Safe
Airtel,6c:1c:4f:dc:c3:03,-72,WPA2,PSK,7,0,Safe
Airtel_Free,96:6f:79:7e:68:e4,-50,WPA,PSK,10,0,Safe
JioFiber_Shop,6a:9a:69:f2:e9:40,-57,WPA2,PSK,10,0,Safe
Airtel123,f2:a7:04:f6:b3:89,-62,WEP,PSK,6,1,Weak Encryption (WEP)
CyberCafe_Home,14:83:f5:e6:d0:46,-69,WPA,PSK,6,0,Safe
Ganpati,06:d3:3a:5c:e9:81,-41,OPEN,NONE,4,1,Open Network
CyberCafe,54:e7:b7:62:15:20,-65,OPEN,NONE,3,1,Open Network
JioFiber,50:db:22:f3:75:7a,-34,OPEN,NONE,7,1,Open Network
TP-Link_5G,b2:8a:d0:f5:9c:81,-37,WPA2,PSK,5,0,Safe
Free_Public_WiFi,f0:13:5d:15:1d:89,-71,WEP,PSK,10,1,Weak Encryption (WEP)
Free_Public_WiFi,48:00:72:be:a7:cc,-35,OPEN,NONE,1,1,Open Network
Free_Public_WiFi,94:00:af:e3:09:e9,-84,WEP,PSK,5,1,Weak Encryption (WEP)
Sai,90:19:2c:56:0b:fc,-77,WEP,PSK,6,1,Weak Encryption (WEP)
Airtel123,2a:95:20:af:92:f3,-69,WEP,PSK,7,1,Weak Encryption (WEP)
Ganpati,d4:e7:be:00:85:7a,-71,WEP,PSK,11,1,Weak Encryption (WEP)
Netpluz_Guest,b6:97:7d:b5:64:9f,-71,WPA2,PSK,3,0,Safe
Om_Home,92:f8:6d:1e:fb:fb,-66,WEP,PSK,1,1,Weak Encryption (WEP)
D-Link_Guest,90:e3:94:fc:e8:60,-63,OPEN,NONE,2,1,Open Network
TP-Link_5G,8e:58:e3:1e:1f:67,-65,WPA,PSK,4,0,Safe
Sai_Home,62:66:33:bd:9c:dd,-62,WPA,PSK,8,0,Safe
JioFiber123,00:a2:6f:39:2c:ad,-54,WPA2,PSK,10,0,Safe
Netpluz_Guest,66:5b:8d:d9:d9:b2,-67,OPEN,NONE,10,1,Open Network
CyberCafe_Free,ec:84:ba:8f:f8:93,-49,WPA2,PSK,5,0,Safe
Free_Public_WiFi,f2:1f:d5:29:44:24,-77,WEP,PSK,6,1,Weak Encryption (WEP)
Shiv_Guest,f8:49:46:71:50:5a,-53,WPA2,PSK,2,0,Safe
CyberCafe123,3c:95:55:4b:2c:bb,-88,WEP,PSK,1,1,Weak Encryption (WEP)
Free_Public_WiFi,86:34:3a:9b:da:e7,-74,WPA2,PSK,6,0,Safe
Free_Public_WiFi,9c:73:b6:9d:9b:c9,-78,OPEN,NONE,4,1,Open Network
Netpluz_Guest,32:82:18:67:95:58,-58,WEP,PSK,7,1,Weak Encryption (WEP)
Om_Guest,c8:5e:92:6d:cf:d1,-73,WPA,PSK,7,0,Safe
D-Link,ce:95:c6:48:0b:cc,-87,WEP,PSK,11,1,Weak Encryption (WEP)
JioFiber_Guest,ba:4b:1e:d5:b2:d0,-89,OPEN,NONE,4,1,Open Network
Free_Public_WiFi,e6:57:89:b7:3c:57,-40,OPEN,NONE,5,1,Open Network
Netpluz,ce:0a:6d:7a:5a:e4,-57,OPEN,NONE,6,1,Open Network
Airtel_Guest,22:30:38:3d:cc:cd,-45,WPA2,PSK,8,0,Safe
Free_Public_WiFi,2a:4e:c4:a5:38:61,-42,WPA,PSK,10,0,Safe
Airtel_Shop,82:d4:df:69:e9:48,-47,WPA2,PSK,8,0,Safe
Netpluz_Guest,b2:08:a6:52:6f:49,-33,OPEN,NONE,10,1,Open Network
Airtel_Guest,c8:09:7b:09:b2:b3,-48,WPA,PSK,7,0,Safe
JioFiber_Home,fc:13:c1:4c:9f:e8,-46,WPA2,PSK,2,0,Safe
D-Link_Guest,e6:1f:50:c0:52:36,-64,WEP,PSK,8,1,Weak Encryption (WEP)
JioFiber_Guest,70:1c:cc:a9:82:40,-82,WEP,PSK,11,1,Weak Encryption (WEP)
D-Link,d4:19:51:53:09:8d,-85,WPA,PSK,11,0,Safe
Free_Public_WiFi,c8:75:c6:1c:5c:3e,-57,WPA2,PSK,6,0,Safe
JioFiber_5G,aa:c8:3e:37:09:d2,-75,WEP,PSK,8,1,Weak Encryption (WEP)
Netpluz_5G,0a:ce:0a:d6:1d:84,-48,WPA,PSK,9,0,Safe
CyberCafe_5G,64:ed:ac:e8:7e:bd,-79,WEP,PSK,10,1,Weak Encryption (WEP)
Airtel_Free,aa:c5:f3:5e:cb:2e,-87,WPA2,PSK,7,0,Safe
Ganpati_5G,a8:09:b4:ea:8c:9b,-79,WEP,PSK,8,1,Weak Encryption (WEP)
Ganpati_Shop,e6:06:d7:69:d7:d1,-31,WPA,PSK,1,0,Safe
Free_Public_WiFi,9a:fd:c2:c5:4e:51,-81,WEP,PSK,8,1,Weak Encryption (WEP)
Sai,52:1a:20:15:37:59,-90,WEP,PSK,11,1,Weak Encryption (WEP)
Netpluz_Free,98:eb:ed:2d:8c:59,-54,WEP,PSK,5,1,Weak Encryption (WEP)
Airtel_5G,bc:41:79:a6:bb:b0,-68,OPEN,NONE,3,1,Open Network
Sai_Guest,26:93:88:73:cf:09,-38,OPEN,NONE,11,1,Open Network
Ganpati_5G,94:1f:24:77:9e:77,-67,WPA2,PSK,9,0,Safe
D-Link123,f4:d2:2e:c2:06:55,-30,OPEN,NONE,9,1,Open Network
TP-Link123,34:f3:52:f2:a2:f7,-73,WPA2,PSK,11,0,Safe
Free_Public_WiFi,92:90:1f:d1:d4:37,-78,WPA2,PSK,5,0,Safe
JioFiber_Guest,ea:09:10:b7:5c:cb,-36,WPA2,PSK,1,0,Safe
Ganpati_5G,84:14:fe:a7:8e:fb,-39,WEP,PSK,2,1,Weak Encryption (WEP)
TP-Link_Free,b6:dd:7a:c9:ce:eb,-63,OPEN,NONE,7,1,Open Network
Airtel_Guest,82:40:e1:9c:0d:d4,-54,WPA,PSK,1,0,Safe
Free_Public_WiFi,ce:fc:12:53:9a:8d,-81,WPA2,PSK,8,0,Safe
Shiv_Shop,ba:b8:38:7a:b0:97,-47,WEP,PSK,8,1,Weak Encryption (WEP)
Free_Public_WiFi,2c:b6:68:d8:d5:67,-61,WPA2,PSK,10,0,Safe
Netpluz_Home,42:1c:6f:ff:9f:13,-49,WEP,PSK,10,1,Weak Encryption (WEP)
TP-Link_Home,18:ad:90:ac:c8:11,-62,WPA2,PSK,6,0,Safe
Ganpati123,f6:9d:6d:b4:2d:ea,-61,WPA,PSK,9,0,Safe
Shiv_Shop,b8:d1:f1:db:86:93,-85,OPEN,NONE,9,1,Open Network
Om_Free,fa:e0:39:62:ab:d9,-77,WPA2,PSK,11,0,Safe
Sai_Home,5c:39:43:4e:46:e7,-56,WPA,PSK,8,0,Safe
Airtel_Home,e4:a0:29:1a:d4:d9,-71,OPEN,NONE,3,1,Open Network
JioFiber_5G,d0:41:ee:5f:68:c9,-81,WPA2,PSK,9,0,Safe
Sai_5G,86:79:0c:16:7f:a1,-56,WEP,PSK,7,1,Weak Encryption (WEP)
TP-Link_Guest,44:0e:89:05:4b:6b,-72,OPEN,NONE,8,1,Open Network
Ganpati_Free,e2:24:4f:28:33:09,-51,WPA,PSK,3,0,Safe
Airtel_5G,54:fa:1c:95:ae:74,-85,WPA,PSK,1,0,Safe
Free_Public_WiFi,4e:bb:b7:02:59:3d,-68,WEP,PSK,7,1,Weak Encryption (WEP)
Om_Shop,8a:d4:82:ea:02:d7,-76,WPA,PSK,5,0,Safe
JioFiber,7e:27:cf:ef:80:8c,-34,WEP,PSK,11,1,Weak Encryption (WEP)
Shiv,64:a9:51:92:02:17,-44,WPA2,PSK,8,0,Safe
TP-Link_Home,4a:a7:69:bc:d0:a8,-61,WPA,PSK,8,0,Safe
Shiv_5G,d2:ce:cd:f2:57:eb,-59,WPA,PSK,6,0,Safe
TP-Link_Free,64:87:b0:a6:b1:f0,-35,OPEN,NONE,4,1,Open Network
Shiv_Home,1c:a9:a7:de:49:d1,-53,OPEN,NONE,3,1,Open Network
Ganpati,ce:26:ee:d2:f1:fb,-62,WEP,PSK,4,1,Weak Encryption (WEP)
CyberCafe_5G,02:b3:93:3e:fa:e0,-45,WEP,PSK,4,1,Weak Encryption (WEP)
CyberCafe123,b0:96:15:59:82:be,-84,WPA,PSK,11,0,Safe
Airtel_Guest,bc:b5:20:08:17:a4,-87,WEP,PSK,2,1,Weak Encryption (WEP)
Ganpati,fa:c7:02:2c:07:4e,-48,WEP,PSK,10,1,Weak Encryption (WEP)
Airtel_5G,9e:ea:fb:09:7d:d1,-88,WEP,PSK,6,1,Weak Encryption (WEP)
Airtel_Guest,44:5e:2d:86:ff:ba,-77,WPA2,PSK,8,0,Safe
Ganpati_Home,26:bc:b0:a1:ab:1f,-78,WPA,PSK,4,0,Safe
JioFiber123,bc:3d:42:a9:1a:30,-87,OPEN,NONE,4,1,Open Network
Netpluz_Free,f8:19:64:19:b8:90,-66,WPA,PSK,11,0,Safe
Sai123,84:f6:c6:2c:f9:31,-38,WPA2,PSK,9,0,Safe
